final_x, final_y, final_z, guessed_x, guessed_y, guessed_z
-0.037349, -0.123159, -0.260011, -0.213275, -0.126988, -0.243749
-0.037551, -0.123158, -0.259663, -0.215641, -0.126956, -0.249366
-0.045232, -0.122316, -0.261200, -0.221299, -0.124062, -0.245367
-0.051091, -0.123034, -0.262613, -0.219820, -0.124673, -0.241223
-0.052236, -0.121656, -0.262578, -0.214980, -0.120327, -0.232984
-0.055997, -0.122024, -0.262770, -0.217332, -0.120325, -0.231434
-0.057326, -0.120192, -0.263951, -0.221295, -0.117168, -0.227941
-0.059422, -0.119538, -0.264161, -0.219147, -0.116164, -0.226431
-0.062557, -0.118544, -0.265350, -0.219666, -0.113304, -0.222980
-0.063699, -0.118906, -0.265530, -0.229653, -0.115713, -0.226039
-0.066787, -0.119295, -0.264415, -0.232429, -0.115738, -0.224192
-0.068742, -0.118185, -0.264171, -0.228278, -0.113016, -0.219974
-0.072158, -0.117330, -0.263733, -0.232692, -0.112641, -0.222660
-0.075899, -0.115878, -0.263484, -0.232500, -0.109554, -0.217230
-0.078581, -0.114060, -0.262632, -0.235327, -0.108296, -0.214637
-0.080984, -0.111520, -0.261424, -0.229191, -0.105991, -0.210035
-0.084296, -0.110713, -0.259400, -0.237796, -0.110010, -0.220140
-0.086824, -0.107698, -0.263588, -0.246950, -0.104373, -0.223295
-0.089490, -0.104254, -0.261835, -0.261001, -0.100942, -0.224544
-0.094624, -0.107380, -0.260836, -0.254994, -0.107916, -0.227267
-0.095917, -0.104831, -0.263880, -0.246943, -0.099104, -0.205728
-0.104648, -0.102490, -0.266972, -0.254536, -0.101147, -0.213834
-0.113743, -0.097837, -0.268006, -0.269359, -0.095589, -0.216984
-0.121645, -0.095618, -0.270194, -0.280352, -0.096206, -0.231934
-0.126730, -0.092842, -0.271415, -0.277380, -0.092561, -0.224714
-0.129118, -0.092548, -0.272716, -0.283847, -0.091450, -0.225641
-0.130860, -0.094311, -0.275226, -0.290577, -0.093822, -0.231881
-0.129614, -0.093663, -0.277281, -0.289100, -0.091169, -0.232166
-0.126300, -0.096867, -0.279223, -0.283020, -0.095542, -0.233100
-0.119997, -0.100612, -0.281589, -0.280697, -0.101753, -0.245615
-0.111351, -0.104480, -0.280169, -0.271434, -0.106959, -0.244782
-0.101998, -0.105489, -0.277704, -0.266904, -0.112879, -0.249586
-0.093144, -0.106708, -0.273813, -0.250907, -0.114190, -0.236130
-0.084131, -0.109166, -0.272015, -0.244298, -0.119338, -0.241702
-0.077277, -0.111556, -0.269320, -0.237208, -0.120363, -0.236839
-0.072479, -0.113382, -0.266856, -0.241916, -0.125031, -0.248461
-0.070999, -0.111100, -0.267232, -0.236056, -0.120156, -0.246252
-0.072107, -0.107929, -0.266556, -0.233889, -0.117827, -0.246570
-0.075638, -0.103065, -0.266908, -0.242686, -0.111851, -0.251563
-0.079166, -0.098076, -0.266832, -0.250148, -0.105337, -0.251800
-0.084468, -0.094252, -0.268653, -0.257122, -0.100786, -0.257424
-0.090554, -0.087414, -0.271155, -0.261217, -0.092443, -0.257729
-0.096407, -0.082132, -0.274771, -0.267740, -0.084258, -0.249926
-0.101858, -0.076630, -0.277396, -0.276835, -0.078294, -0.253925
-0.106574, -0.073425, -0.279842, -0.282056, -0.074611, -0.258114
-0.109091, -0.072714, -0.281673, -0.287530, -0.074885, -0.260093
-0.109130, -0.072940, -0.281494, -0.300278, -0.077281, -0.266249
-0.107609, -0.074024, -0.281417, -0.291206, -0.078857, -0.266002
-0.105032, -0.077581, -0.278947, -0.283586, -0.082912, -0.257214
-0.097314, -0.084214, -0.273979, -0.269206, -0.087168, -0.246972
-0.088094, -0.090578, -0.270286, -0.258913, -0.095160, -0.245884
-0.077265, -0.098834, -0.266183, -0.242412, -0.101592, -0.239181
-0.066827, -0.106739, -0.259373, -0.225137, -0.109485, -0.223738
-0.056453, -0.111277, -0.252422, -0.217059, -0.119026, -0.225968
-0.048818, -0.113948, -0.243466, -0.203977, -0.122814, -0.208574
-0.043157, -0.115319, -0.238750, -0.206194, -0.131574, -0.220338
-0.039871, -0.115163, -0.233956, -0.215586, -0.138987, -0.233153
-0.040285, -0.112398, -0.231627, -0.210893, -0.132115, -0.224292
-0.042475, -0.106132, -0.229649, -0.217367, -0.126281, -0.230876
-0.048354, -0.097990, -0.230558, -0.217928, -0.111928, -0.223156
-0.056719, -0.088553, -0.233237, -0.225320, -0.097720, -0.223967
-0.063747, -0.079132, -0.237743, -0.230468, -0.085594, -0.226043
-0.073084, -0.065812, -0.243254, -0.241260, -0.069330, -0.233831
-0.081973, -0.054910, -0.248466, -0.253989, -0.056927, -0.239295
-0.088601, -0.045048, -0.254016, -0.272693, -0.045743, -0.254424
-0.092504, -0.040937, -0.260053, -0.281978, -0.042558, -0.258295
-0.094488, -0.040195, -0.262898, -0.293923, -0.044133, -0.279399
-0.095303, -0.045027, -0.265613, -0.305261, -0.052937, -0.287679
-0.091097, -0.053586, -0.267461, -0.278346, -0.065288, -0.275112
-0.086659, -0.066063, -0.268907, -0.269451, -0.082541, -0.270319
-0.078641, -0.080568, -0.266997, -0.254839, -0.099806, -0.269898
-0.072070, -0.094340, -0.263625, -0.238590, -0.117890, -0.253090
-0.064782, -0.111921, -0.257645, -0.227294, -0.130793, -0.227473
-0.059541, -0.128575, -0.250025, -0.223142, -0.151754, -0.230566
-0.054703, -0.141601, -0.243256, -0.220190, -0.166923, -0.229583
-0.051420, -0.148879, -0.238570, -0.213107, -0.172933, -0.221569
-0.052252, -0.151120, -0.233035, -0.211106, -0.175705, -0.216803
-0.053572, -0.147262, -0.231903, -0.216591, -0.166050, -0.212602
-0.058085, -0.135990, -0.229878, -0.229638, -0.164221, -0.222029
-0.064536, -0.124797, -0.229037, -0.234110, -0.149966, -0.214539
-0.069166, -0.112431, -0.228414, -0.230160, -0.127673, -0.204378
-0.075347, -0.101875, -0.232021, -0.247025, -0.114828, -0.217224
-0.086084, -0.089456, -0.233500, -0.250492, -0.094814, -0.200992
