-0.028705, -0.125233, -0.279686, 0.693590, 0.659608, -0.287389, -0.035466, -0.024417, -0.121365, -0.270380, 0.645679, 0.224053, -0.486631, 0.544140
-0.029855, -0.123353, -0.281237, 0.698125, 0.649626, -0.298776, -0.036609, -0.023939, -0.121703, -0.274394, 0.658541, 0.206884, -0.454225, 0.563207
-0.028444, -0.123481, -0.282893, 0.713556, 0.644996, -0.271387, -0.034157, -0.034570, -0.133237, -0.308520, 0.617565, 0.266006, -0.544217, 0.501679
-0.028782, -0.122695, -0.284423, 0.722607, 0.637796, -0.263713, -0.038881, -0.033141, -0.128210, -0.300237, 0.609946, 0.269890, -0.558766, 0.492856
-0.028419, -0.123589, -0.284348, 0.720736, 0.640818, -0.262296, -0.033063, -0.033824, -0.131404, -0.301738, 0.612640, 0.272598, -0.547211, 0.500921
-0.029012, -0.124249, -0.284413, 0.730525, 0.631043, -0.258578, -0.035428, -0.038686, -0.134182, -0.310913, 0.627096, 0.259347, -0.540016, 0.497868
-0.029902, -0.124564, -0.285150, 0.740208, 0.618589, -0.261774, -0.030227, -0.040957, -0.136932, -0.316823, 0.628445, 0.262563, -0.538038, 0.496622
-0.030853, -0.125096, -0.286424, 0.753039, 0.605445, -0.256030, -0.028598, -0.037332, -0.136136, -0.312171, 0.617295, 0.269146, -0.541885, 0.502859
-0.032142, -0.125511, -0.286290, 0.758972, 0.593899, -0.266487, -0.015151, -0.043037, -0.138128, -0.319007, 0.625565, 0.266142, -0.544203, 0.491610
-0.032386, -0.126097, -0.285673, 0.763970, 0.589527, -0.261679, -0.018225, -0.039605, -0.135500, -0.308857, 0.627429, 0.258603, -0.539401, 0.498501
-0.032256, -0.127224, -0.285720, 0.760731, 0.591576, -0.266843, -0.010972, -0.041142, -0.140689, -0.321963, 0.630583, 0.255995, -0.535821, 0.499728
-0.032469, -0.127974, -0.286573, 0.770159, 0.581244, -0.262636, -0.005628, -0.038953, -0.135936, -0.307157, 0.633165, 0.253017, -0.526917, 0.507389
-0.033574, -0.127753, -0.286465, 0.763287, 0.586190, -0.271597, 0.002926, -0.041112, -0.137186, -0.313170, 0.635383, 0.254732, -0.527251, 0.503394
-0.034098, -0.128755, -0.286852, 0.761440, 0.590142, -0.268175, 0.004773, -0.041973, -0.136698, -0.311078, 0.634219, 0.257526, -0.527422, 0.503262
-0.035388, -0.127604, -0.286956, 0.761601, 0.592137, -0.263318, 0.001104, -0.042232, -0.133207, -0.306839, 0.636701, 0.258407, -0.523391, 0.503886
-0.034585, -0.127454, -0.286695, 0.750308, 0.608105, -0.259137, 0.009727, -0.044823, -0.134296, -0.310509, 0.633808, 0.270432, -0.520566, 0.504147
-0.036492, -0.126879, -0.286913, 0.750209, 0.610731, -0.252906, 0.015232, -0.043266, -0.129918, -0.300143, 0.637574, 0.267066, -0.513783, 0.508136
