-0.028982, -0.125826, -0.281496, 0.689164, 0.666789, -0.280218, -0.043870, -0.024417, -0.121365, -0.270380, 0.544140, 0.486631, 0.224053, -0.645680
-0.030031, -0.123845, -0.282989, 0.693889, 0.655856, -0.294316, -0.041834, -0.024299, -0.122222, -0.275579, 0.562942, 0.454142, 0.207066, -0.658768
-0.028836, -0.124128, -0.284429, 0.702039, 0.659133, -0.265916, -0.044423, -0.034830, -0.134937, -0.310607, 0.500271, 0.548050, 0.269169, -0.613937
-0.029186, -0.123593, -0.285717, 0.715117, 0.651026, -0.247785, -0.058099, -0.034402, -0.130826, -0.305692, -0.496912, -0.550346, -0.265010, 0.616415
-0.029067, -0.124245, -0.285996, 0.721522, 0.642691, -0.253901, -0.043466, -0.027241, -0.123441, -0.282526, 0.503385, 0.551128, 0.268153, -0.609061
-0.029529, -0.124558, -0.286054, 0.728459, 0.635456, -0.251829, -0.046096, -0.033507, -0.128198, -0.296797, 0.500852, 0.542009, 0.257109, -0.623915
-0.030403, -0.124803, -0.286313, 0.737596, 0.624106, -0.254835, -0.038763, -0.036744, -0.130816, -0.301345, -0.498394, -0.542298, -0.262412, 0.623423
-0.031364, -0.125467, -0.287302, 0.749969, 0.611175, -0.249543, -0.041712, -0.034361, -0.131525, -0.299945, 0.504294, 0.542783, 0.264913, -0.617168
-0.032463, -0.125862, -0.287531, 0.757215, 0.599410, -0.258066, -0.027115, -0.038079, -0.133629, -0.306921, -0.495401, -0.546242, -0.263604, 0.621861
-0.032334, -0.126082, -0.286590, 0.762226, 0.594840, -0.253812, -0.027492, -0.036979, -0.130958, -0.298298, 0.501143, 0.537871, 0.256840, -0.627363
-0.031963, -0.126422, -0.287512, 0.763448, 0.592301, -0.256434, -0.023833, -0.038153, -0.135249, -0.311937, -0.497884, -0.543336, -0.260013, 0.623932
-0.032470, -0.125697, -0.288539, 0.768236, 0.584778, -0.259823, -0.018444, -0.034684, -0.130176, -0.298719, -0.497901, -0.549806, -0.259766, 0.618328
-0.033214, -0.126832, -0.288184, 0.753181, 0.603145, -0.261915, -0.018295, -0.042793, -0.137716, -0.319102, -0.495120, -0.540649, -0.264716, 0.626482
-0.034895, -0.128130, -0.288386, 0.758914, 0.595600, -0.263089, -0.009692, -0.043362, -0.135234, -0.309741, -0.496266, -0.534880, -0.258515, 0.633083
-0.035638, -0.128793, -0.288165, 0.759861, 0.593655, -0.264876, 0.005001, -0.042766, -0.136115, -0.311042, 0.500877, 0.530978, 0.266922, -0.629236
-0.036554, -0.127989, -0.288273, 0.755172, 0.600869, -0.261922, 0.008328, -0.043866, -0.133950, -0.308013, -0.498931, -0.533345, -0.273052, 0.626142
-0.037529, -0.127871, -0.287556, 0.747835, 0.612885, -0.254906, 0.011715, -0.045778, -0.131376, -0.302846, 0.517159, 0.493283, 0.260155, -0.649260
-0.039172, -0.127924, -0.288788, 0.753672, 0.608140, -0.248364, 0.021455, -0.045389, -0.131984, -0.305268, 0.504757, 0.520734, 0.280371, -0.628848
-0.041214, -0.126449, -0.288166, 0.748820, 0.615478, -0.245369, 0.015795, -0.044158, -0.125654, -0.289955, 0.506938, 0.514831, 0.274155, -0.634667
-0.042616, -0.123697, -0.288408, 0.750207, 0.614398, -0.242772, 0.027689, -0.045784, -0.124122, -0.296320, 0.509673, 0.512826, 0.290569, -0.626748
-0.043532, -0.122520, -0.287909, 0.732388, 0.641585, -0.227940, 0.004363, -0.047977, -0.123996, -0.294511, 0.513042, 0.502362, 0.294315, -0.630713
-0.045491, -0.119281, -0.288783, 0.741559, 0.629959, -0.229885, 0.019873, -0.047701, -0.119294, -0.292822, 0.504159, 0.519438, 0.309853, -0.616441
-0.045812, -0.117280, -0.288548, 0.729001, 0.643322, -0.232412, 0.026062, -0.048809, -0.118624, -0.297101, 0.505712, 0.513212, 0.317850, -0.616312
-0.046564, -0.114390, -0.288360, 0.727741, 0.647762, -0.224859, 0.015357, -0.046756, -0.111888, -0.283710, -0.493415, -0.534549, -0.316708, 0.608683
-0.046308, -0.112244, -0.288176, 0.720511, 0.655662, -0.224944, 0.019300, -0.046905, -0.110627, -0.286445, -0.495951, -0.529304, -0.324922, 0.606873
-0.046433, -0.109276, -0.288117, 0.722621, 0.653704, -0.223568, 0.022527, -0.048225, -0.107742, -0.286123, -0.495498, -0.523913, -0.326127, 0.611260
-0.046304, -0.108305, -0.287491, 0.714422, 0.659272, -0.232779, 0.027859, -0.050949, -0.109809, -0.294280, 0.505974, 0.506119, 0.326978, -0.617186
-0.046616, -0.106139, -0.287158, 0.714908, 0.661780, -0.224680, 0.021756, -0.049627, -0.106503, -0.289453, -0.495193, -0.523626, -0.333797, 0.607602
-0.045595, -0.103743, -0.286530, 0.721034, 0.655716, -0.222602, 0.024400, -0.048111, -0.104210, -0.289387, -0.496584, -0.524384, -0.340865, 0.601861
-0.044594, -0.102611, -0.284655, 0.718189, 0.657192, -0.226394, 0.032388, -0.045048, -0.102398, -0.280778, 0.502511, 0.520729, 0.340210, -0.600484
-0.043676, -0.101671, -0.283491, 0.718198, 0.659449, -0.219676, 0.032597, -0.047493, -0.101467, -0.285161, 0.511428, 0.500839, 0.334753, -0.612815
